instrument_id,name,acronym,owner,owner_normalised,owner_category,year_established,year_established_detail,year_source_url,status,geographic_scope,instrument_type,bindingness,adoption_driver,trust_stack_layer,interoperability_posture,problem_domain,harm_family,harm_family_confidence,sector_family,sector_family_confidence,sector_detail,cluster,object_attributes,public_harm_addressed,wito_relevance,references_builds_on,adoption_penetration,adoption_figure_found,effectiveness_verified,effectiveness_evidence_found,compliance_cost,compliance_cost_found,source_url,source_note
181,Gulf Conformity Mark (G-Mark),G-Mark,GCC Standardization Organization (GSO),GCC Standardization Organization,public,2009,2009,,in force,regional,binding-regulation,de-facto-required-for-market-access,mandate-driven,conformity-assessment-certification,mutual-recognition,Product integrity,Unsafe or non-compliant products,high,Consumer & manufactured products,high,"toys, low-voltage devices, expanding cross-sector",Manufactured & Consumer Products,"safety, compliance-conformity",unsafe / non-conforming products in GCC market,mandate-owner to recognize,"Builds on the GCC 'Technical Regulation for Gulf Conformity Marking,' approved in 2009, and product-specific GCC Technical Regulations (e.g., toys, low-voltage equipment), per the official GSO (GCC Standardization Organization) page.",No published figure identified (checked),0,No published evaluation identified (checked),0,No published compliance-cost figure identified,0,https://www.gso.org.sa/en/conformity/gcc-conformity-mark/,Confirmed on official GSO site: mandatory Gulf Conformity Mark under GCC Technical Regulation approved 24 May 2009; signifies health/safety/environment conformity required to place products on GCC markets; single mark across member states.
182,Marking Tobacco and Tobacco Products Scheme (Digital Tax Stamps),DTS,"Federal Tax Authority (FTA), United Arab Emirates",Federal Tax Authority,public,2019,2019,,in force,national,binding-regulation,mandatory,mandate-driven,identifier,standalone-silo,Product integrity,Illicit trade & tax/excise evasion,high,Tobacco & excise goods,high,"tobacco (cigarettes, then waterpipe/other tobacco)",Excise & Environmental,"authenticity-anti-counterfeit, compliance-conformity, identity","illicit tobacco trade, excise tax evasion",mandate-owner to recognize,Established/implemented under UAE Federal Tax Authority Decision No. 3 of 2021 on Implementing the Marking of Tobacco and Tobacco Products Scheme.,"UAE's Federal Tax Authority phased in digital tax stamps on cigarette packs starting around Jan 2019, later expanded to water-pipe tobacco and electrically heated cigarettes. [https://tax.gov.ae/en/taxes/excise.tax/excise.tax.topics/digital.tax.stamps.aspx]",1,No published evaluation identified (checked),0,No published compliance-cost figure identified,0,https://gulfnews.com/uae/fta-readies-marking-tobacco-and-tobacco-products-scheme-1.1545830073938,"Confirmed via Gulf News reporting official FTA scheme: established by UAE Cabinet Decision No. 42 of 2018; FTA-operated digital stamps on cigarettes from Jan 2019 (import ban May 2019, retail ban Aug 2019); first such system in the region."
183,Electronic Tax Stamps (ETS),ETS,Tanzania Revenue Authority (TRA); SICPA technology provider,Tanzania Revenue Authority ; SICPA technology provider,public,2019,2019,,in force,national,binding-regulation,mandatory,mandate-driven,identifier,standalone-silo,Product integrity,Illicit trade & tax/excise evasion,high,Tobacco & excise goods,high,"excisable goods (cigarettes, wine, spirits, beer, bottled water, juices)",Excise & Environmental,"authenticity-anti-counterfeit, compliance-conformity, identity, chain-of-custody","tax evasion, counterfeiting",mandate-owner to recognize,ISO/IEC 17011,"Let's Encrypt states on its homepage (accessed July 2026) that it provides TLS certificates for 'more than 700M websites,' making it the single largest Web PKI certificate authority. (Its /stats page renders figures only via JavaScript charts and did not return extractable numbers.)",1,"reduced-harm - Peer-reviewed study (Gomba, 2025) on Tanzania's ETS found the system produced a statistically significant increase of approximately TZS 435.72 billion in annual excise collections after adoption, concluding ETS is effective at modernising tax administration and improving revenue performance (addressing under-reporting, counterfeiting and evasion). [https://zenodo.org/records/15224615]",1,Let's Encrypt certificates are issued at no charge via automated (ACME) issuance — zero direct compliance cost to the certificate holder.,1,https://www.tra.go.tz/page/electronic-tax-stamp-ets,Confirmed on official TRA site: ETS phased from Jan 2019 (Phase 1 cigarettes/alcohol; Phase 2 Aug 2019 water/non-alcoholic) across 8 excisable categories; replaces paper stamps; enables mobile consumer authentication.
184,Standards Organisation of Nigeria Conformity Assessment Programme (SONCAP),SONCAP,Standards Organisation of Nigeria (SON),Standards Organisation of Nigeria,public,2005,,https://www.sgs.com/-/media/sgscorp/documents/corporate/brochures/sgs-gis-pca-nigeria-infosheet-a4-en-16.cdn.en-CA.pdf,in force,national,binding-regulation,de-facto-required-for-market-access,mandate-driven,conformity-assessment-certification,standalone-silo,Product integrity,Unsafe or non-compliant products,high,Cross-sector conformity assessment & accreditation,high,regulated imported products,Cross-sector Horizontal,"safety, compliance-conformity, authenticity-anti-counterfeit",substandard / unsafe imported goods,mandate-owner to recognize,"Nigerian Industrial Standards (NIS), ISO, IEC",No published figure identified (checked),0,No published evaluation identified (checked),0,No published compliance-cost figure identified,0,https://son.gov.ng/soncap-faq/,"Confirmed on official SON site: mandatory offshore/pre-shipment certification scheme (PCoC/SCoC via eight accredited firms) for SON-regulated imports; non-compliant goods subject to detention/destruction; ensures conformity to NIS/ISO/IEC. Start year not stated on source. [Batch year-fill: 2005 (adopted/entered into force), high confidence. https://www.sgs.com/-/media/sgscorp/documents/corporate/brochures/sgs-gis-pca-nigeria-infosheet-a4-en-16.cdn.en-CA.pdf]"
185,South African National Accreditation System (SANAS),SANAS,"SANAS (public entity under the Department of Trade, Industry and Competition)",SANAS,public,2006,2006,,in force,national,accreditation-or-mutual-recognition-arrangement,voluntary,hybrid,accreditation,mutual-recognition,Digital systems and data,"Data, research & assurance integrity failure",high,Cross-sector conformity assessment & accreditation,high,"cross-sector conformity assessment (labs, certification and inspection bodies, GLP)",Cross-sector Horizontal,"compliance-conformity, safety",unreliable testing / certification results,peer framework,ISO/IEC 17011; ILAC and IAF arrangements; OECD GLP,"SANAS had cumulatively accredited 2,047 Conformity Assessment Bodies (CABs) as of the 2022/23 period, operating 12 accreditation programmes; it has maintained signatory status to the ILAC MRA, IAF MLA and AFRAC MRA since 2000 (SANAS Annual Performance Plan 2023/24, published by the dtic). [https://www.thedtic.gov.za/wp-content/uploads/SANAS-APP.pdf]",1,No published outcome evaluation identified,0,No published compliance-cost figure identified,0,https://www.gov.za/documents/acts/accreditation-conformity-assessment-calibration-and-good-laboratory-practice-act-19,"Confirmed via South African Government (gov.za): Accreditation Act 19 of 2006 (commenced May 2007) designates SANAS as the sole national accreditation body for conformity assessment, calibration and good laboratory practice."
186,Sistema Nacional de Trazabilidad de Medicamentos,SNT,"ANMAT (Administracion Nacional de Medicamentos, Alimentos y Tecnologia Medica)",ANMAT,public,2011,,https://www.boletinoficial.gob.ar/detalleAviso/primera/330768/20250903,in force,national,binding-regulation,mandatory,mandate-driven,traceability-exchange-protocol,standalone-silo,Product integrity,Counterfeiting & falsification,high,Pharmaceuticals & medical devices,high,pharmaceuticals,Pharma & Medical,"identity, authenticity-anti-counterfeit, chain-of-custody, safety",circulation of illegitimate / counterfeit medicines,mandate-owner to recognize,GS1,No published figure identified (checked),0,No published evaluation identified (checked),0,No published compliance-cost figure identified,0,https://www.argentina.gob.ar/anmat/sistema-nacional-de-trazabilidad/sistema-nacional-de-trazabilidad-de-medicamentos,"Confirmed on official Argentina.gob.ar/ANMAT: national medicine traceability tracks especialidades medicinales in real time from manufacture through the supply chain to dispensation; operative (page dated 2018); scheme updated by Disposicion 6223/2025. Establishment year not stated on source. [Batch year-fill: 2011 (ANMAT Disposición N° 3683/2011 (23 May 2011), which per ANMAT's own later disposition (6223/2025) regulated the first stage of implementation of the Sistema Nacional de Trazabilidad, establishing its technical guidelines, database, unique-code system and first covered products; accompanied by Ministry of Health Resolución 435/2011.), high confidence. https://www.boletinoficial.gob.ar/detalleAviso/primera/330768/20250903]"
187,Sistema Unico Nacional de Informacion y Rastreo (SUNIR),SUNIR,"DIAN (Direccion de Impuestos y Aduanas Nacionales), Colombia",DIAN,public,2013,2013,,phased-in,national,binding-regulation,mandatory,mandate-driven,identifier,standalone-silo,Product integrity,Illicit trade & tax/excise evasion,high,Tobacco & excise goods,high,"liquor, cigarettes and beer (excise / departmental monopoly goods)",Excise & Environmental,"origin-provenance, authenticity-anti-counterfeit, compliance-conformity, chain-of-custody","contraband / smuggling, tax evasion, adulterated products",mandate-owner to recognize,(no explicit dependency identified),No published figure identified (checked),0,No published evaluation identified (checked),0,No published compliance-cost figure identified,0,https://www.larepublica.co/economia/listo-el-decreto-que-implementa-el-sistema-que-frenara-el-contrabando-2035720,"Confirmed via La Republica reporting on Decreto 602 de 2013: DIAN-run SUNIR to mark and track liquor, cigarettes and beer against contraband; legal basis enacted 2013 with a multi-year implementation period (operational rollout subsequently delayed)."
188,Codigo de Seguridad para Cajetillas de Cigarros,,"Servicio de Administracion Tributaria (SAT), Mexico",Servicio de Administracion Tributaria,public,2017,,https://www.claa.org.mx/cir_pdf/2018/CIR_GJN_ATS_024.18.pdf,in force,national,binding-regulation,mandatory,mandate-driven,identifier,standalone-silo,Product integrity,Illicit trade & tax/excise evasion,high,Tobacco & excise goods,high,tobacco (cigarettes),Excise & Environmental,"authenticity-anti-counterfeit, compliance-conformity, identity","illicit cigarette trade, tax (IEPS) evasion",mandate-owner to recognize,Ley del IEPS Art. 19 fraccion XXII; WHO FCTC (referenced),No published figure identified (checked),0,"limited - Independent study (Saenz de Miera et al., 2023) found illicit cigarettes rose to 18.2% of consumption in Mexico in 2023 (from 8.5% in 2017) and that Mexico's cigarette-pack security code showed limited effectiveness against illicit trade, concluding the code alone is insufficient without stronger enforcement. [https://impuestotabaco.org/wp-content/uploads/2024/03/Reporte-El-comercio-ilicito-de-cigarros-web.pdf]",1,No published compliance-cost figure identified,0,https://www.jornada.com.mx/2018/10/15/economia/023n1eco,"Confirmed via La Jornada: SAT-issued security codes printed on cigarette packs, mandated under Ley del IEPS Art. 19-XXII, to verify production volumes and tax and distinguish legal from illegal product; operational by 2018 (start year not stated on source). [Batch year-fill: 2017 (), high confidence. https://www.claa.org.mx/cir_pdf/2018/CIR_GJN_ATS_024.18.pdf]"
189,Sistema de Controle e Rastreamento da Producao de Cigarros (SCORPIOS),SCORPIOS,Receita Federal do Brasil (operated via Casa da Moeda do Brasil),Receita Federal do Brasil,public,2007,2007,,in force,national,binding-regulation,mandatory,mandate-driven,traceability-exchange-protocol,standalone-silo,Product integrity,Illicit trade & tax/excise evasion,high,Tobacco & excise goods,high,tobacco (cigarettes),Excise & Environmental,"authenticity-anti-counterfeit, compliance-conformity, identity, origin-provenance, chain-of-custody","illicit cigarette production, tax evasion, contraband/diversion",mandate-owner to recognize,Established under Receita Federal Normative Instruction (Instrucao Normativa RFB) no. 769/2007.,"SCORPIOS, established in September 2007 under Receita Federal do Brasil, achieved integrated real-time control of all cigarette production lines in Brazil by 2011; illicit cigarettes were estimated at ~29% of the Brazilian market (INCA/CONICQ informative document). [https://ninho.inca.gov.br/jspui/bitstream/123456789/16805/1/Informativo%20da%20Conicq%20-%20n%208%20-%202015-4-5.pdf]",1,No published outcome evaluation identified,0,No published compliance-cost figure identified,0,https://www.gov.br/pt-br/servicos/consultar-sistema-de-controle-de-producao-de-cigarros,Confirmed via official gov.br service page: SCORPIOS run by Receita Federal via Casa da Moeda; production-counting equipment plus barcode marking/tracking of cigarette output; legal basis IN RFB 769/2007 (export controls updated by IN RFB 1155/2011).
190,Roundtable on Sustainable Palm Oil Principles & Criteria and Supply Chain Certification Standard,RSPO,Roundtable on Sustainable Palm Oil (RSPO),Roundtable on Sustainable Palm Oil,NGO-multistakeholder,2004,2004,,in force,global-multilateral,NGO-multistakeholder-scheme,voluntary,market-driven,conformity-assessment-certification,standalone-silo,Product integrity,Illegal or misrepresented origin & sourcing,medium,"Food, agriculture & beverages",high,Palm oil,"Food, Agriculture & Seafood","sustainability-carbon, origin-provenance, chain-of-custody",Tropical deforestation and peatland loss from palm oil,sectoral scheme/standard,ISO 17065; ISEAL Codes of Good Practice,"In 2022, Certified Sustainable Palm Oil (CSPO) production exceeded 15 million MT, representing 20% of global crude palm oil production; RSPO members accounted for 42% of the 77.6 million MT of global palm oil, and certified hectarage grew +6.6% year-on-year (RSPO ACOP 2022). [https://rspo.org/acop-2022-reports-continued-progress-in-cspo-production-and-consumption-despite-global-disruptions-cspo-production-hits-15-million-mt-milestone/]",1,"counterproductive - Peer-reviewed evaluation (Zachlod et al., 2025, Communications Earth & Environment) found RSPO certification associated with an unintended, counterproductive decline in oil-palm plantation efficiency in Malaysia (e.g., one estate showed a 21.97 percentage-point drop in oil-palm coverage, 2018-2023). Source: https://www.nature.com/articles/s43247-025-02150-2 [https://rspo.org/acop-2022-reports-continued-progress-in-cspo-production-and-consumption-despite-global-disruptions-cspo-production-hits-15-million-mt-milestone/]",1,No published compliance-cost figure identified,0,https://rspo.org/who-we-are/,"Confirmed via rspo.org: RSPO formed 2004 (WWF, MPOA, Unilever, AAK, Migros); current P&C v4.2 (2024), Supply Chain Cert Std (2020), Independent Smallholder Std v2.2 (2024)."
191,RTRS Standard for Responsible Soy Production,RTRS,Round Table on Responsible Soy Association (RTRS),Round Table on Responsible Soy Association,NGO-multistakeholder,2006,2006,,in force,global-multilateral,NGO-multistakeholder-scheme,voluntary,market-driven,conformity-assessment-certification,standalone-silo,Product integrity,Illegal or misrepresented origin & sourcing,medium,"Food, agriculture & beverages",high,Soy (and corn),"Food, Agriculture & Seafood","sustainability-carbon, origin-provenance, chain-of-custody",Deforestation and native-vegetation conversion from soy expansion,sectoral scheme/standard,ISEAL Codes of Good Practice; zero-deforestation/zero-conversion cutoff,"In 2023, 7.5 million tonnes of RTRS-certified soy were produced on 2.2 million hectares (certified area +10.5% vs 2022); 11,480 new producers were certified during 2023, with Brazil producing ~6.4 million tonnes (RTRS, 2023). [https://responsiblesoy.org/rtrs-certification-soybean-growth-2023?lang=en]",1,No published outcome evaluation identified,0,No published compliance-cost figure identified,0,https://responsiblesoy.org/about-rtrs?lang=en,"Confirmed via responsiblesoy.org: founded 2006 in Zurich; Production Std v4.0 (2021), Chain of Custody v3.1 (2025); zero-deforestation cutoff established 2016."
192,ProTerra Standard for Sustainability and Non-GMO Certification,,ProTerra Foundation,ProTerra Foundation,NGO-multistakeholder,2006,2006,,in force,global-multilateral,NGO-multistakeholder-scheme,voluntary,market-driven,conformity-assessment-certification,standalone-silo,Product integrity,Greenwashing & ESG/climate misrepresentation,high,"Food, agriculture & beverages",high,"Soy, feed and food supply chains","Food, Agriculture & Seafood","composition, sustainability-carbon, chain-of-custody",GMO contamination and deforestation in feed/soy chains,sectoral scheme/standard,ISO 17065,"As of 2025/2026 (ProTerra Network directory): 160 Full Members, 86 ProTerra Certified operators, 16 Associate Members, spanning 40+ countries (largest concentrations in Brazil, Netherlands, Germany, India, Russia). Standard is now at v5.0 (2024). [https://www.proterrafoundation.org/the-proterra-network/ ; https://www.proterrafoundation.org/partnership-benchmarks/]",1,No published outcome/impact evaluation (with a reduced-harm/mixed/limited/counterproductive/inconclusive verdict) located this session; ProTerra references an internal environmental-footprint study of certified vs. non-certified soy but results were not published on the linked page. [https://www.proterrafoundation.org/the-proterra-network/ ; https://www.proterrafoundation.org/partnership-benchmarks/],0,No published compliance-cost figure identified,0,https://www.proterrafoundation.org/the-proterra-standard/,Confirmed via proterrafoundation.org: established 2006; current ProTerra Certification Standard v5.0; segregated non-GMO plus sustainability. Basel Criteria origin not confirmed on this page.
193,Bonsucro Production Standard,BSI,Bonsucro,Bonsucro,NGO-multistakeholder,2005,2005,,in force,global-multilateral,NGO-multistakeholder-scheme,voluntary,market-driven,conformity-assessment-certification,mutual-recognition,Product integrity,Other / social & labor harm,high,"Food, agriculture & beverages",high,Sugarcane,"Food, Agriculture & Seafood","sustainability-carbon, compliance-conformity, chain-of-custody","Water, labour and land-use harms of sugarcane production",sectoral scheme/standard,ISEAL; ISO 17065; EU Renewable Energy Directive,"Bonsucro-certified sugarcane represented approximately 6.5% of global production, with 189,964 hectares added during the reporting period (Bonsucro Outcome Report 2022, covering the 2021-22 season). [https://bonsucro.com/bonsucros-latest-outcomes-revealed/]",1,"reduced-harm - Bonsucro Outcome Report 2022 (self-reported outcome data): certified operations showed a 20% improvement in irrigated water-use efficiency (2020-2021), workers paid on average 19% above the national minimum wage, and 128,000+ farm and 68,000 mill workers benefiting. [https://bonsucro.com/bonsucros-latest-outcomes-revealed/]",1,No published compliance-cost figure identified,0,https://bonsucro.com/what-is-bonsucro/,"Confirmed via bonsucro.com: originated 2005 as Better Sugarcane Initiative, certification launched 2011; current Production Standard v5.2.1 (released Oct 2025, mandatory Jan 2026)."
194,Global Organic Textile Standard,GOTS,Global Standards gGmbH,Global Standards gGmbH,NGO-multistakeholder,2006,2006,,in force,global-multilateral,NGO-multistakeholder-scheme,voluntary,market-driven,conformity-assessment-certification,mutual-recognition,Product integrity,Greenwashing & ESG/climate misrepresentation,high,Consumer & manufactured products,high,Organic natural-fibre textiles,"Food, Agriculture & Seafood","composition, sustainability-carbon, chain-of-custody",Greenwashing of 'organic' textiles; chemical and labour harms,sectoral scheme/standard,IFOAM organic farming standards; ISO 17065; ILO core conventions,"14,676 GOTS-certified facilities across 89 countries in 2023 (an 8% increase over 2022), certified via 25 GOTS-approved certification bodies (GOTS Annual Press Release 2024). [https://global-standard.org/images/resource-library/documents/PR/2024_AnnualPR_UK.pdf]",1,No published outcome evaluation identified,0,No published compliance-cost figure identified,0,https://global-standard.org/images/resource-library/documents/standard-and-manual/GOTS_v8.0_signed.pdf,"Confirmed via official GOTS v8.0 PDF: v8.0 released March 2026, effective 1 March 2027; owner Global Standards gGmbH (Stuttgart). First version 2006 is the standard's widely-reported origin (not independently sourced this session)."
195,Organic Content Standard,OCS,Textile Exchange,Textile Exchange,NGO-multistakeholder,2013,2013,,in force,global-multilateral,NGO-multistakeholder-scheme,voluntary,market-driven,conformity-assessment-certification,mutual-recognition,Product integrity,Counterfeiting & falsification,high,"Food, agriculture & beverages",medium,Organic cotton and non-food organic fibres,Adjacent: Content & Information,"composition, chain-of-custody",False organic-content claims in textiles,adjacent context,IFOAM Family of Standards (organic input); Textile Exchange Content Claim Standard,"No OCS-specific certified-site or volume figure was found from an authoritative primary source this session (Textile Exchange's 2024 Materials Market Report only gives a combined figure of 75,173 sites certified in 2023 across its whole standards portfolio — GOTS, GRS, RCS, OCS, RWS, RDS, etc. — not broken out for OCS alone). [https://textileexchange.org/app/uploads/2021/02/OCS-101-V3.0-Organic-Content-Standard.pdf]",0,Not found. [https://textileexchange.org/app/uploads/2021/02/OCS-101-V3.0-Organic-Content-Standard.pdf],0,No published compliance-cost figure identified,0,https://textileexchange.org/organic-content-standard/,"Confirmed via textileexchange.org: owned by Textile Exchange; verifies organic content plus chain of custody using IFOAM Family of Standards; current v3.0 (2020), user manual v3.1 (2021); standard document carries © 2013."
196,IFOAM Organic Guarantee System - Participatory Guarantee Systems and IFOAM Norms/Family of Standards,IFOAM PGS / OGS,IFOAM - Organics International,IFOAM - Organics International,NGO-multistakeholder,2008,2008,,in force,global-multilateral,NGO-multistakeholder-scheme,voluntary,market-driven,conformity-assessment-certification,mutual-recognition,Identity and personal security,"Fraud, forgery & impersonation",high,"Food, agriculture & beverages",high,Organic agriculture (smallholders),"Food, Agriculture & Seafood","composition, compliance-conformity",Organic fraud and exclusion of smallholders from certification,sectoral scheme/standard,IFOAM Norms; Codex Alimentarius organic guidelines,"323 PGS initiatives worldwide (62 currently under development) involving 1,417,522 producers, of which 1,328,496 were certified, per IFOAM's global PGS survey (2022 data). [https://www.ifoam.bio/our-work/how/standards-certification/PGS-statistics]",1,No published outcome evaluation identified,0,No published compliance-cost figure identified,0,https://www.ifoam.bio/our-work/how/standards-certification/participatory-guarantee-systems,"Confirmed via ifoam.bio: IFOAM founded 1972 (100+ countries); official PGS definition 2008; PGS are peer-based organic quality assurance complementary to third-party certification, within the Organic Guarantee System / Family of Standards."
197,SAI Platform Farm Sustainability Assessment / Regenerating Together,FSA,SAI Platform (Sustainable Agriculture Initiative Platform),SAI Platform,private,2014,2014,,in force,global-multilateral,private-industry-scheme,voluntary,market-driven,conformity-assessment-certification,mutual-recognition,System interoperability,Interoperability & fragmentation failure,high,"Food, agriculture & beverages",high,Cross-crop agriculture (food & drink supply),"Food, Agriculture & Seafood","sustainability-carbon, compliance-conformity",Unsustainable farming and duplicative audit burden on farmers,sectoral scheme/standard,Benchmarking/equivalence with GLOBALG.A.P. and other farm-level schemes,"The FSA has enabled over 360,000 farms in 60 countries to assess and verify sustainable production across 190 cultivated crops (cumulative since 2014; current version FSA 3.0), and is benchmarked by more than 100 global sustainability schemes (SAI Platform). [https://saiplatform.org/press-area/fsa/]",1,No published outcome evaluation identified,0,No published compliance-cost figure identified,0,https://saiplatform.org/press-area/fsa/,"Confirmed via saiplatform.org: FSA first version 2014, FSA 3.0 April 2021; Regenerating Together framework announced (press release Feb 2024), integrated standalone tool powered by FSA operations launching 2025."
198,Better Cotton Standard System,BCI,Better Cotton (formerly Better Cotton Initiative),Better Cotton,NGO-multistakeholder,2005,2005,,in force,global-multilateral,NGO-multistakeholder-scheme,voluntary,market-driven,conformity-assessment-certification,standalone-silo,Product integrity,Other / social & labor harm,high,"Food, agriculture & beverages",high,Cotton,"Food, Agriculture & Seafood","sustainability-carbon, chain-of-custody",Pesticide/water harm and labour abuse in cotton farming,sectoral scheme/standard,ISEAL Codes of Good Practice; ILO core conventions,"In the 2022-23 season Better Cotton accounted for 22% of global cotton production, grown by 2.2 million licensed farmers (5.4 million tonnes, +15% year-on-year); the programme reached more than 2.8 million cotton farmers across 22 countries (Better Cotton 2022-23 Annual Report). [https://bettercotton.org/better-cotton-2022-23-annual-report-better-cotton-accounts-for-22-of-global-production/]",1,"limited - Independent Wageningen University endline evaluation (Pamuk, Motovska & van Rijn, 2022) of Better Cotton's impact on cotton farmers in India found the contribution of capacity-building activities to increased farmer profitability was limited (partly attributed to COVID-19 disruption of training). Source: https://research.wur.nl/en/publications/towards-sustainable-cotton-farming-validating-the-impact-of-bette/ [https://bettercotton.org/better-cotton-2022-23-annual-report-better-cotton-accounts-for-22-of-global-production/]",1,No published compliance-cost figure identified,0,https://bettercotton.org/who-we-are/,Confirmed via bettercotton.org: origin dated to a 2005 WWF-convened roundtable; ~2.13M licensed farmers across 22 countries; multi-stakeholder Better Cotton Standard System.
199,Non-GMO Project Standard (Non-GMO Project Verified),,The Non-GMO Project,The Non-GMO Project,NGO-multistakeholder,2007,2007,,in force,regional,NGO-multistakeholder-scheme,voluntary,market-driven,conformity-assessment-certification,standalone-silo,Product integrity,Illegal or misrepresented origin & sourcing,high,"Food, agriculture & beverages",high,Food and consumer products (North America),"Food, Agriculture & Seafood","composition, authenticity-anti-counterfeit, chain-of-custody",Undisclosed GMO content and consumer deception,sectoral scheme/standard,"The Standard requires GMO risk testing to be performed by laboratories accredited to ISO 17025; it does not formally incorporate Codex Alimentarius, EU GMO thresholds, or organic standards into its core requirements.","As of 2025 (Non-GMO Project's own verification FAQ): the Butterfly seal covers 66,000+ unique-formula verified products representing about $48.9 billion in annual U.S. sales; 87% of surveyed ingredient suppliers with verified goods call verification an essential revenue-building strategy. [https://www.nongmoproject.org/verification-faq/]",1,Not found (no third-party outcome/impact evaluation located this session). [https://www.nongmoproject.org/verification-faq/],0,No published compliance-cost figure identified,0,https://www.nongmoproject.org/about/,Confirmed via nongmoproject.org: 501(c)(3) founded 2007 by two grocers (Berkeley CA + Toronto); Butterfly 'Non-GMO Project Verified' label since 2010; North America's leading GMO-avoidance verification.
200,USDA Process Verified Program,PVP,USDA Agricultural Marketing Service (AMS),USDA Agricultural Marketing Service,public,1996,,https://www.federalregister.gov/documents/2002/12/30/02-32806/united-states-standards-for-livestock-and-meat-marketing-claims,in force,national,govt-referenced-standard,voluntary,market-driven,conformity-assessment-certification,standalone-silo,Product integrity,Illegal or misrepresented origin & sourcing,high,"Food, agriculture & beverages",high,"Livestock, poultry, dairy, seeds & grains, produce",Cross-sector Horizontal,"compliance-conformity, origin-provenance, identity",Unverifiable marketing claims and consumer deception,component standard,ISO 9000 series (quality management systems),"USDA/AMS maintains a public directory of approved PVP companies (processverified.usda.gov / AMS PVP Directory), organized by commodity (beef, poultry, pork, dairy, etc.) and spanning multiple result pages; no precise total headcount is published in a single verified figure, so no adoption number is reported here. [https://www.usda.gov/about-usda/news/blog/usda-process-verified-program-transparency-farm-market-0 ; https://www.ams.usda.gov/services/auditing/pvp-directory]",1,Not found. [https://www.usda.gov/about-usda/news/blog/usda-process-verified-program-transparency-farm-market-0 ; https://www.ams.usda.gov/services/auditing/pvp-directory],0,No published compliance-cost figure identified,0,https://www.ams.usda.gov/services/auditing/process-verified-programs,"Confirmed via ams.usda.gov: USDA AMS voluntary audit-based verification of documented process/marketing claims evaluated against the ISO 9000 series; covers livestock/poultry, dairy, seeds & grains, produce. Founding year not stated on the page. [Batch year-fill: 1996 (AMS Livestock and Seed (LS) Program began offering the verification service that became the USDA Process Verified Program), medium confidence. https://www.federalregister.gov/documents/2002/12/30/02-32806/united-states-standards-for-livestock-and-meat-marketing-claims]"
201,Fair Trade Certified (Fair Trade USA standards),FTUSA,Fair Trade USA,Fair Trade USA,NGO-multistakeholder,1998,1998,,in force,global-multilateral,NGO-multistakeholder-scheme,voluntary,market-driven,conformity-assessment-certification,standalone-silo,Product integrity,Other / social & labor harm,high,"Food, agriculture & beverages",high,"Coffee, cocoa, produce, seafood, apparel, home goods","Food, Agriculture & Seafood","compliance-conformity, chain-of-custody",Exploitative labour and unfair producer prices,sectoral scheme/standard,ILO core conventions; ISEAL,"Per Fair Trade USA's own impact page (2025/2026): 1.6 million Fair Trade Certified producers across 50+ countries, 1,500+ business partners, 12,500+ products bearing the label, and more than $1 billion cumulative Community Development Fund benefit distributed to farmers/workers/fishers. [https://www.fairtradecertified.org/what-we-do/our-impact/ ; https://warrington.ufl.edu/news/fair-trade-paradox/ ; https://www.fairtradecertified.org/news/fair-trade-accepted-as-iseal-member/]",1,"Mixed. A University of Florida study (Daehoon Jung, forthcoming in Production and Operations Management; published Sept. 9, 2025) explicitly analyzing competition between Fair Trade USA and Fairtrade America found that competition expands consumer access to fair-trade products but simultaneously erodes the per-unit premium individual farmers receive ('mainstreaming'/'fairwashing' trade-off) — more farmers participate, but each captures a smaller benefit. [https://www.fairtradecertified.org/what-we-do/our-impact/ ; https://warrington.ufl.edu/news/fair-trade-paradox/ ; https://www.fairtradecertified.org/news/fair-trade-accepted-as-iseal-member/]",1,No published compliance-cost figure identified,0,https://www.fairtradecertified.org/about-us/our-history/,"Confirmed via fairtradecertified.org: founded 1998 as TransFair USA; separated from Fairtrade International in 2012; Fair Trade Certified spans food, apparel, home goods and seafood."
202,Friend of the Sea Sustainable Seafood Certification,FOS,World Sustainability Organization (Friend of the Sea),World Sustainability Organization,NGO-multistakeholder,2008,2008,,in force,global-multilateral,NGO-multistakeholder-scheme,voluntary,market-driven,conformity-assessment-certification,mutual-recognition,Product integrity,Illegal or misrepresented origin & sourcing,high,Seafood & fisheries,high,"Wild-capture fisheries, aquaculture, fishmeal/Omega-3","Food, Agriculture & Seafood","sustainability-carbon, origin-provenance, chain-of-custody",Overfishing and unsustainable aquaculture,sectoral scheme/standard,FAO Code of Conduct for Responsible Fisheries; ISO 17065 accreditation,No published figure identified (checked),0,No published evaluation identified (checked),0,No published compliance-cost figure identified,0,https://friendofthesea.org/our-team/paolo-bray/,"Confirmed via friendofthesea.org: created 2008 by Paolo Bray, now a project of the World Sustainability Organization; certifies fisheries, aquaculture, fishmeal & Omega-3; ISO 17065-accredited third-party audits."
